Run on (160 X 4023 MHz CPU s)
2018-08-08 11:26:23
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"activation_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",9987,70114.3,76939.3,ns,,1.22949e+10,,,,0,1,32,79,862048,341,1,32,79,862048,341,1.22949e+10,862048
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",9001,78340.7,84693.7,ns,,2.20077e+10,,,,0,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,2.20077e+10,1.7241e+06
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",7760,90174.8,97008.3,ns,,3.8239e+10,,,,0,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,3.8239e+10,3.44819e+06
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",57481,12176.9,19088.2,ns,,1.6577e+10,,,,0,1,32,38,201856,166,1,32,38,201856,166,1.6577e+10,201856
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",51033,13705.5,20674.5,ns,,2.94561e+10,,,,0,2,32,38,403712,166,2,32,38,403712,166,2.94561e+10,403712
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",31326,22334.5,29145.5,ns,,3.61514e+10,,,,0,4,32,38,807424,166,4,32,38,807424,166,3.61514e+10,807424
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",53723,13022.9,19976,ns,,2.8307e+10,,,,0,1,16,48,368640,480,1,16,48,368640,480,2.8307e+10,368640
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",60019,11660.3,18532.8,ns,,1.58074e+10,,,,0,1,32,24,184320,240,1,32,24,184320,240,1.58074e+10,184320
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",63975,11014.2,17845.7,ns,,8.36736e+09,,,,0,1,64,12,92160,120,1,64,12,92160,120,8.36736e+09,92160
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",70753,9885.99,16626.3,ns,,4.66114e+09,,,,0,1,128,6,46080,60,1,128,6,46080,60,4.66114e+09,46080
