Run on (160 X 4023 MHz CPU s)
2018-08-08 12:49:37
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"activation_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",14327,48860.7,55757.8,ns,,1.7643e+10,,,,0,1,32,79,862048,341,1,32,79,862048,341,1.7643e+10,862048
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",10627,65854.7,72736.8,ns,,2.61803e+10,,,,0,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,2.61803e+10,1.7241e+06
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",9319,75096.5,81967.4,ns,,4.59168e+10,,,,0,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,4.59168e+10,3.44819e+06
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",53121,13053.4,19826.2,ns,,1.54639e+10,,,,0,1,32,38,201856,166,1,32,38,201856,166,1.54639e+10,201856
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",45196,15509.2,22447.9,ns,,2.60305e+10,,,,0,2,32,38,403712,166,2,32,38,403712,166,2.60305e+10,403712
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",37711,18551.4,25516.8,ns,,4.35237e+10,,,,0,4,32,38,807424,166,4,32,38,807424,166,4.35237e+10,807424
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",47680,14694,21532.4,ns,,2.50878e+10,,,,0,1,16,48,368640,480,1,16,48,368640,480,2.50878e+10,368640
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",55890,12512.3,19482.7,ns,,1.47311e+10,,,,0,1,32,24,184320,240,1,32,24,184320,240,1.47311e+10,184320
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",61570,11353.5,18281.8,ns,,8.11733e+09,,,,0,1,64,12,92160,120,1,64,12,92160,120,8.11733e+09,92160
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",71459,9770.47,16702.6,ns,,4.71625e+09,,,,0,1,128,6,46080,60,1,128,6,46080,60,4.71625e+09,46080
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",61085,11460.4,18235,ns,,1.62842e+10,,,,0,1,64,54,186624,54,1,64,54,186624,54,1.62842e+10,186624
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",61044,11486.5,18244.1,ns,,1.62473e+10,,,,0,1,64,54,186624,54,1,64,54,186624,54,1.62473e+10,186624
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",66780,10474.5,17490.1,ns,,8.90849e+09,,,,0,1,128,27,93312,27,1,128,27,93312,27,8.90849e+09,93312
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",67488,10351.5,17387,ns,,4.84724e+09,,,,0,1,256,14,50176,14,1,256,14,50176,14,4.84724e+09,50176
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",72425,9676.86,16675.4,ns,,2.59258e+09,,,,0,1,512,7,25088,7,1,512,7,25088,7,2.59258e+09,25088
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15034,46557.8,53438.4,ns,,6.89738e+10,,,,0,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,6.89738e+10,3.21126e+06
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",23342,30001.2,36883.7,ns,,5.3519e+10,,,,0,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,5.3519e+10,1.60563e+06
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",37124,18841.7,25663.6,ns,,4.26085e+10,,,,0,1,256,56,802816,56,1,256,56,802816,56,4.26085e+10,802816
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",44417,15760.4,22645.6,ns,,2.54694e+10,,,,0,1,512,28,401408,28,1,512,28,401408,28,2.54694e+10,401408
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",64286,10897.2,17691.6,ns,,9.20893e+09,,,,0,1,512,14,100352,14,1,512,14,100352,14,9.20893e+09,100352
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",72366,9665.87,16687,ns,,2.59552e+09,,,,0,1,512,7,25088,7,1,512,7,25088,7,2.59552e+09,25088
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",9298,75271.1,82139.9,ns,,8.53252e+10,,,,0,2,64,224,6.42253e+06,224,2,64,224,6.42253e+06,224,8.53252e+10,6.42253e+06
