Run on (160 X 4023 MHz CPU s)
2018-08-08 13:45:55
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"batchnorm_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2977,221239,13578.1,ns,,3.89646e+09,,,,1,1,32,79,862048,341,1,32,79,862048,341,3.89646e+09,862048
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2500,280024,13496.3,ns,,6.15697e+09,,,,1,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,6.15697e+09,1.7241e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1922,364143,13592.1,ns,,9.46935e+09,,,,1,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,9.46935e+09,3.44819e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",18028,38827.1,13513.1,ns,,5.19885e+09,,,,1,1,32,38,201856,166,1,32,38,201856,166,5.19885e+09,201856
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",16040,43633.1,13527.2,ns,,9.25243e+09,,,,1,2,32,38,403712,166,2,32,38,403712,166,9.25243e+09,403712
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",8186,85959.1,13549.8,ns,,9.39312e+09,,,,1,4,32,38,807424,166,4,32,38,807424,166,9.39312e+09,807424
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6601,106036,13573.3,ns,,3.47655e+09,,,,1,1,16,48,368640,480,1,16,48,368640,480,3.47655e+09,368640
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",19742,35457.7,13507.3,ns,,5.19831e+09,,,,1,1,32,24,184320,240,1,32,24,184320,240,5.19831e+09,184320
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",34507,20286.4,13517.5,ns,,4.54294e+09,,,,1,1,64,12,92160,120,1,64,12,92160,120,4.54294e+09,92160
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",40885,17127.3,13518.9,ns,,2.69044e+09,,,,1,1,128,6,46080,60,1,128,6,46080,60,2.69044e+09,46080
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",25358,27606.2,13537.7,ns,,6.76021e+09,,,,1,1,64,54,186624,54,1,64,54,186624,54,6.76021e+09,186624
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",25358,27607.3,13549.7,ns,,6.75994e+09,,,,1,1,64,54,186624,54,1,64,54,186624,54,6.75994e+09,186624
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",37391,18715.9,13504.9,ns,,4.9857e+09,,,,1,1,128,27,93312,27,1,128,27,93312,27,4.9857e+09,93312
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",36417,19240.9,13547.2,ns,,2.60778e+09,,,,1,1,256,14,50176,14,1,256,14,50176,14,2.60778e+09,50176
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",27292,25654.5,13519.1,ns,,9.77916e+08,,,,1,1,512,7,25088,7,1,512,7,25088,7,9.77916e+08,25088
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1548,452075,13536.9,ns,,7.10338e+09,,,,1,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,7.10338e+09,3.21126e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",5037,138927,13569.6,ns,,1.15573e+10,,,,1,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,1.15573e+10,1.60563e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",11793,59114.3,13515.8,ns,,1.35807e+10,,,,1,1,256,56,802816,56,1,256,56,802816,56,1.35807e+10,802816
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",20254,34551.3,13454.1,ns,,1.16177e+10,,,,1,1,512,28,401408,28,1,512,28,401408,28,1.16177e+10,401408
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",25653,27282.9,13511.6,ns,,3.6782e+09,,,,1,1,512,14,100352,14,1,512,14,100352,14,3.6782e+09,100352
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",27302,25652.9,13468.6,ns,,9.77978e+08,,,,1,1,512,7,25088,7,1,512,7,25088,7,9.77978e+08,25088
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1247,560725,13606.3,ns,,1.1454e+10,,,,1,2,64,224,6.42253e+06,224,2,64,224,6.42253e+06,224,1.1454e+10,6.42253e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4001,174913,13565.7,ns,,1.83592e+10,,,,1,2,128,112,3.21126e+06,112,2,128,112,3.21126e+06,112,1.83592e+10,3.21126e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",8043,86980,13534.6,ns,,1.84598e+10,,,,1,2,256,56,1.60563e+06,56,2,256,56,1.60563e+06,56,1.84598e+10,1.60563e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL>/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",14328,48878.3,13478.4,ns,,1.64248e+10,,,,1,2,512,28,802816,28,2,512,28,802816,28,1.64248e+10,802816
