Run on (160 X 4023 MHz CPU s)
2018-08-08 14:21:30
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"batchnorm_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",4872,131525,13119,ns,,6.55423e+09,,,,1,1,32,79,862048,341,1,32,79,862048,341,6.55423e+09,862048
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2730,257939,13070.8,ns,,6.68412e+09,,,,1,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,6.68412e+09,1.7241e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1994,351073,13131.7,ns,,9.82188e+09,,,,1,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,9.82188e+09,3.44819e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",20057,34905.1,13047.9,ns,,5.783e+09,,,,1,1,32,38,201856,166,1,32,38,201856,166,5.783e+09,201856
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",15631,44893.8,13052,ns,,8.99261e+09,,,,1,2,32,38,403712,166,2,32,38,403712,166,8.99261e+09,403712
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",12574,55670.4,13052.9,ns,,1.45036e+10,,,,1,4,32,38,807424,166,4,32,38,807424,166,1.45036e+10,807424
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6242,112136,13053.1,ns,,3.28745e+09,,,,1,1,16,48,368640,480,1,16,48,368640,480,3.28745e+09,368640
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",21648,32352,13051.8,ns,,5.69733e+09,,,,1,1,32,24,184320,240,1,32,24,184320,240,5.69733e+09,184320
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",35881,19500.8,13081.3,ns,,4.72595e+09,,,,1,1,64,12,92160,120,1,64,12,92160,120,4.72595e+09,92160
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",39366,17786.3,13044.2,ns,,2.59076e+09,,,,1,1,128,6,46080,60,1,128,6,46080,60,2.59076e+09,46080
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",26923,25987.4,13032.7,ns,,7.18131e+09,,,,1,1,64,54,186624,54,1,64,54,186624,54,7.18131e+09,186624
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",26941,25994.6,13044.2,ns,,7.17933e+09,,,,1,1,64,54,186624,54,1,64,54,186624,54,7.17933e+09,186624
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",36523,19271.4,13033.6,ns,,4.842e+09,,,,1,1,128,27,93312,27,1,128,27,93312,27,4.842e+09,93312
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",33969,20607.7,13029.7,ns,,2.43482e+09,,,,1,1,256,14,50176,14,1,256,14,50176,14,2.43482e+09,50176
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",25200,27764,13038.8,ns,,9.03616e+08,,,,1,1,512,7,25088,7,1,512,7,25088,7,9.03616e+08,25088
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL, true>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1624,431196,13071.5,ns,,7.44735e+09,,,,1,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,7.44735e+09,3.21126e+06
