Run on (160 X 4023 MHz CPU s)
2018-08-08 15:33:31
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",13066,51499.7,58405.7,ns,,7.00276e+10,,,,5,20,1,1,161,112700,700,32,1,32,79,862048,341,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",7602,92088.4,99164.4,ns,,7.83248e+10,,,,5,20,2,1,161,225400,700,32,2,32,79,1.7241e+06,341,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2091,334793,341689,ns,,4.30881e+10,,,,5,20,4,1,161,450800,700,32,4,32,79,3.44819e+06,341,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",37095,18871.2,25774.6,ns,,1.46178e+12,,,,5,10,1,32,79,862048,341,32,1,32,38,201856,166,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",23841,28768.5,35714.6,ns,,1.91776e+12,,,,5,10,2,32,79,1.7241e+06,341,32,2,32,38,403712,166,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",14455,48434.9,55289.6,ns,,2.27815e+12,,,,5,10,4,32,79,3.44819e+06,341,32,4,32,38,807424,166,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15970,43821.2,50713.2,ns,,8.41237e+09,,,,3,3,1,1,48,23040,480,16,1,16,48,368640,480,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",39194,17859.6,24664,ns,,1.65128e+11,,,,3,3,1,16,24,92160,240,32,1,32,24,184320,240,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",60836,11493.5,18514.5,ns,,2.5659e+11,,,,3,3,1,32,12,46080,120,64,1,64,12,92160,120,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",71422,9813.14,16692.3,ns,,3.00528e+11,,,,3,3,1,64,6,23040,60,128,1,128,6,46080,60,1,1,1,1
