Run on (160 X 4023 MHz CPU s)
2018-08-08 17:04:38
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",5805,120388,127318,ns,,2.99566e+10,,,,1,1,0,0.133632,0,5,20,1,1,161,112700,700,0,32,1,32,79,862048,341,0,0,1.43212e+12,1.7241e+08,1.43212e+12,1.7241e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3315,211133,218434,ns,,3.41624e+10,,,,1,1,0,0.211712,0,5,20,2,1,161,225400,700,0,32,2,32,79,1.7241e+06,341,0,0,1.63319e+12,3.44819e+08,1.63319e+12,3.44819e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1742,401688,408636,ns,,3.59124e+10,,,,1,1,0,0.403936,0,5,20,4,1,161,450800,700,0,32,4,32,79,3.44819e+06,341,0,0,1.71685e+12,6.89638e+08,1.71685e+12,6.89638e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1949,357975,364930,ns,,7.706e+10,,,,1,1,0,0.362112,0,5,10,1,32,79,862048,341,0,32,1,32,38,201856,166,0,0,1.80443e+12,6.45939e+08,1.80443e+12,6.45939e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1226,570626,577556,ns,,9.66852e+10,,,,1,1,0,0.580832,0,5,10,2,32,79,1.7241e+06,341,0,32,2,32,38,403712,166,0,0,2.26397e+12,1.29188e+09,2.26397e+12,1.29188e+09,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",559,1.2588e+06,1.26609e+06,ns,,8.76566e+10,,,,1,1,0,1.13722,0,5,10,4,32,79,3.44819e+06,341,0,32,4,32,38,807424,166,0,0,2.05255e+12,2.58376e+09,2.05255e+12,2.58376e+09,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15940,43923.6,50813.2,ns,,8.39275e+09,,,,1,1,0,0.046688,0,3,3,1,1,48,23040,480,0,16,1,16,48,368640,480,1,1,1.51069e+11,6.63552e+06,1.51069e+11,6.63552e+06,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",11154,62684.3,69621.8,ns,,4.70472e+10,,,,1,1,0,0.064448,0,3,3,1,16,24,92160,240,0,32,1,32,24,184320,240,1,1,8.46849e+11,5.30842e+07,8.46849e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",7492,93414.4,100350,ns,,3.15703e+10,,,,1,1,0,0.095456,0,3,3,1,32,12,46080,120,0,64,1,64,12,92160,120,1,1,5.68265e+11,5.30842e+07,5.68265e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4322,161963,168913,ns,,1.82086e+10,,,,0,1,0,0.164992,0,3,3,1,64,6,23040,60,0,128,1,128,6,46080,60,1,1,3.27756e+11,5.30842e+07,3.27756e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",22060,31692.7,38679.1,ns,,7.06626e+10,,,,1,1,0,0.033696,0,3,3,1,3,108,34992,108,0,64,1,64,54,186624,54,1,1,3.17982e+11,1.00777e+07,3.17982e+11,1.00777e+07,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4559,153451,160375,ns,,7.78354e+10,,,,1,1,0,0.155648,0,3,3,1,64,54,186624,54,0,64,1,64,54,186624,54,1,1,1.40104e+12,2.14991e+08,1.40104e+12,2.14991e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2431,287874,294838,ns,,4.14902e+10,,,,0,1,0,0.290912,0,3,3,1,128,27,93312,27,0,128,1,128,27,93312,27,1,1,7.46824e+11,2.14991e+08,7.46824e+11,2.14991e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2449,285831,292760,ns,,2.24696e+10,,,,0,1,0,0.288,0,3,3,1,128,14,25088,14,0,256,1,256,14,50176,14,1,1,4.04454e+11,1.15606e+08,4.04454e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1365,512599,519540,ns,,1.25293e+10,,,,0,1,0,0.515264,0,3,3,1,256,7,12544,7,0,512,1,512,7,25088,7,1,1,2.25528e+11,1.15606e+08,2.25528e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6713,104175,111097,ns,,9.24774e+10,,,,1,1,0,0.106816,0,3,3,1,3,224,150528,224,0,64,1,64,224,3.21126e+06,224,1,1,1.66459e+12,1.73408e+08,1.66459e+12,1.73408e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2851,245506,252446,ns,,4.18565e+11,,,,1,1,0,0.249152,0,3,3,1,64,112,802816,112,0,128,1,128,112,1.60563e+06,112,1,1,7.53418e+12,1.84969e+09,7.53418e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2520,277752,284678,ns,,3.69972e+11,,,,1,1,0,0.303968,0,3,3,1,128,56,401408,56,0,256,1,256,56,802816,56,1,1,6.65949e+12,1.84969e+09,6.65949e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1319,530667,537601,ns,,1.93644e+11,,,,1,1,0,0.551328,0,3,3,1,256,28,200704,28,0,512,1,512,28,401408,28,1,1,3.48559e+12,1.84969e+09,3.48559e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",626,1.11914e+06,1.1261e+06,ns,,4.59103e+10,,,,0,1,0,1.12285,0,3,3,1,512,14,100352,14,0,512,1,512,14,100352,14,1,1,8.26385e+11,9.24844e+08,8.26385e+11,9.24844e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",636,1.10048e+06,1.10747e+06,ns,,1.16723e+10,,,,0,1,0,1.10288,0,3,3,1,512,7,25088,7,0,512,1,512,7,25088,7,1,1,2.10101e+11,2.31211e+08,2.10101e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4219,165945,172867,ns,,1.16108e+11,,,,1,1,0,0.168544,0,3,3,2,3,224,301056,224,0,64,2,64,224,6.42253e+06,224,1,1,2.08994e+12,3.46817e+08,2.08994e+12,3.46817e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1243,570779,577719,ns,,3.60071e+11,,,,1,1,0,0.534048,0,3,3,2,64,112,1.60563e+06,112,0,128,2,128,112,3.21126e+06,112,1,1,6.48127e+12,3.69938e+09,6.48127e+12,3.69938e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1622,431366,438294,ns,,4.76442e+11,,,,1,1,0,0.434656,0,3,3,2,128,56,802816,56,0,256,2,256,56,1.60563e+06,56,1,1,8.57595e+12,3.69938e+09,8.57595e+12,3.69938e+09,1,1,0,0
