Run on (160 X 4023 MHz CPU s)
2018-08-08 17:35:31
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"dropout","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",48307,14283.9,21086.6,ns,,6.03508e+10,,,,0.5,1,32,79,862048,341,1,32,79,862048,341,6.03508e+10,862048
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",37265,18779.7,25566.4,ns,,9.18062e+10,,,,0.5,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,9.18062e+10,1.7241e+06
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",23359,30039.6,36823.8,ns,,1.14788e+11,,,,0.5,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,1.14788e+11,3.44819e+06
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",66404,10545.7,17385.9,ns,,1.91411e+10,,,,0.5,1,32,38,201856,166,1,32,38,201856,166,1.91411e+10,201856
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",59249,11810.4,18672.5,ns,,3.41827e+10,,,,0.5,2,32,38,403712,166,2,32,38,403712,166,3.41827e+10,403712
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",49492,14143.3,20955.6,ns,,5.70888e+10,,,,0.5,4,32,38,807424,166,4,32,38,807424,166,5.70888e+10,807424
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",59782,11714.2,18683,ns,,3.14696e+10,,,,0.5,1,16,48,368640,480,1,16,48,368640,480,3.14696e+10,368640
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",67144,10426.8,17252.5,ns,,1.76774e+10,,,,0.5,1,32,24,184320,240,1,32,24,184320,240,1.76774e+10,184320
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",72188,9729.61,16550,ns,,9.47211e+09,,,,0.5,1,64,12,92160,120,1,64,12,92160,120,9.47211e+09,92160
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",76637,9171.54,16027.6,ns,,5.02424e+09,,,,0.5,1,128,6,46080,60,1,128,6,46080,60,5.02424e+09,46080
