Run on (160 X 4023 MHz CPU s)
2018-08-08 17:55:39
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"dropout","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",14955,46740.3,59268.2,ns,,1.84433e+10,,,,0.5,1,32,79,862048,341,1,32,79,862048,341,1.84433e+10,862048
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11837,58166.7,70175.1,ns,,2.96406e+10,,,,0.5,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,2.96406e+10,1.7241e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",8354,82455.1,94901.7,ns,,4.1819e+10,,,,0.5,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,4.1819e+10,3.44819e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",19796,35130.4,46559.2,ns,,5.74591e+09,,,,0.5,1,32,38,201856,166,1,32,38,201856,166,5.74591e+09,201856
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",17994,38609.3,49788.7,ns,,1.04564e+10,,,,0.5,2,32,38,403712,166,2,32,38,403712,166,1.04564e+10,403712
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",15687,44835.6,56482.3,ns,,1.80086e+10,,,,0.5,4,32,38,807424,166,4,32,38,807424,166,1.80086e+10,807424
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",18170,39265.7,51180.4,ns,,9.38835e+09,,,,0.5,1,16,48,368640,480,1,16,48,368640,480,9.38835e+09,368640
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",20404,34207,44950.7,ns,,5.38837e+09,,,,0.5,1,32,24,184320,240,1,32,24,184320,240,5.38837e+09,184320
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",21331,32967.7,43337.3,ns,,2.79547e+09,,,,0.5,1,64,12,92160,120,1,64,12,92160,120,2.79547e+09,92160
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",23480,29671.9,39848.1,ns,,1.55299e+09,,,,0.5,1,128,6,46080,60,1,128,6,46080,60,1.55299e+09,46080
