Run on (160 X 4023 MHz CPU s)
2018-08-08 18:38:57
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"horizontal_padding","horizontal_stride","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","pooling_mode","predicted_flops","predicted_flops_count","vertical_padding","vertical_stride","window_height","window_width"
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",13064,53095.2,65625.3,ns,,1.62359e+10,,,,0,2,1,32,79,862048,341,1,32,39,212160,170,0,1.62359e+10,862048,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",9608,78230.4,92356.2,ns,,2.20387e+10,,,,0,2,2,32,79,1.7241e+06,341,2,32,39,424320,170,0,2.20387e+10,1.7241e+06,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",5657,123686,138645,ns,,2.78786e+10,,,,0,2,4,32,79,3.44819e+06,341,4,32,39,848640,170,0,2.78786e+10,3.44819e+06,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",14900,47089.1,61126.5,ns,,4.28669e+09,,,,0,2,1,32,38,201856,166,1,32,19,50464,83,0,4.28669e+09,201856,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",13040,54491.4,69422,ns,,7.40873e+09,,,,0,2,2,32,38,403712,166,2,32,19,100928,83,0,7.40873e+09,403712,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11239,63085.8,78631.8,ns,,1.27988e+10,,,,0,2,4,32,38,807424,166,4,32,19,201856,83,0,1.27988e+10,807424,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",12721,48631.6,61973.7,ns,,7.58026e+09,,,,0,2,1,16,48,368640,480,1,16,24,92160,240,0,7.58026e+09,368640,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",14315,49912.6,64889.8,ns,,3.69286e+09,,,,0,2,1,32,24,184320,240,1,32,12,46080,120,0,3.69286e+09,184320,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",13607,44509.1,58020.4,ns,,2.07059e+09,,,,0,2,1,64,12,92160,120,1,64,6,23040,60,0,2.07059e+09,92160,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",14407,48650.9,63491.1,ns,,9.47157e+08,,,,0,2,1,128,6,46080,60,1,128,3,11520,30,0,9.47157e+08,46080,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",14254,46283.8,60212.4,ns,,4.03216e+09,,,,0,2,1,64,54,186624,54,1,64,27,46656,27,0,4.03216e+09,186624,0,2,2,2
