Run on (160 X 4023 MHz CPU s)
2018-08-08 19:44:07
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"horizontal_padding","horizontal_stride","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","pooling_mode","predicted_flops","predicted_flops_count","vertical_padding","vertical_stride","window_height","window_width"
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",38410,17454.3,24380.3,ns,,4.93889e+10,,,,0,2,1,32,79,862048,341,1,32,39,212160,170,0,4.93889e+10,862048,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",27608,25351.6,32182,ns,,6.80073e+10,,,,0,2,2,32,79,1.7241e+06,341,2,32,39,424320,170,0,6.80073e+10,1.7241e+06,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",17113,40887.3,47735.3,ns,,8.4334e+10,,,,0,2,4,32,79,3.44819e+06,341,4,32,39,848640,170,0,8.4334e+10,3.44819e+06,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",62406,11219.7,17987,ns,,1.79912e+10,,,,0,2,1,32,38,201856,166,1,32,19,50464,83,0,1.79912e+10,201856,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",52619,13292.4,20050,ns,,3.03717e+10,,,,0,2,2,32,38,403712,166,2,32,19,100928,83,0,3.03717e+10,403712,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",40312,17371.1,24297.8,ns,,4.64808e+10,,,,0,2,4,32,38,807424,166,4,32,19,201856,83,0,4.64808e+10,807424,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",52771,13331.6,20036.6,ns,,2.76516e+10,,,,0,2,1,16,48,368640,480,1,16,24,92160,240,0,2.76516e+10,368640,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",62788,11143.9,17900.1,ns,,1.654e+10,,,,0,2,1,32,24,184320,240,1,32,12,46080,120,0,1.654e+10,184320,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",66178,10589.6,17555,ns,,8.70285e+09,,,,0,2,1,64,12,92160,120,1,64,6,23040,60,0,8.70285e+09,92160,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",67549,10346.6,17112.9,ns,,4.45364e+09,,,,0,2,1,128,6,46080,60,1,128,3,11520,30,0,4.45364e+09,46080,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",62538,11207.4,17986.3,ns,,1.66519e+10,,,,0,2,1,64,54,186624,54,1,64,27,46656,27,0,1.66519e+10,186624,0,2,2,2
