Run on (160 X 4023 MHz CPU s)
2018-08-08 20:50:57
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count","softmax_algorithm","softmax_mode"
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",314,2.09381e+06,12675.4,ns,,4.11712e+08,,,,1,32,79,862048,341,1,32,79,862048,341,4.11712e+08,862048,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",260,2.69479e+06,12771.9,ns,,6.39789e+08,,,,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,6.39789e+08,1.7241e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",257,2.72642e+06,12814.1,ns,,1.26473e+09,,,,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,1.26473e+09,3.44819e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2108,332077,12447.7,ns,,6.07859e+08,,,,1,32,38,201856,166,1,32,38,201856,166,6.07859e+08,201856,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2107,332274,12291.1,ns,,1.215e+09,,,,2,32,38,403712,166,2,32,38,403712,166,1.215e+09,403712,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1363,514751,12332.3,ns,,1.56857e+09,,,,4,32,38,807424,166,4,32,38,807424,166,1.56857e+09,807424,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1171,597616,12350,ns,,6.1685e+08,,,,1,16,48,368640,480,1,16,48,368640,480,6.1685e+08,368640,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2305,303737,12307.4,ns,,6.06841e+08,,,,1,32,24,184320,240,1,32,24,184320,240,6.06841e+08,184320,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4448,157333,12345.9,ns,,5.85763e+08,,,,1,64,12,92160,120,1,64,12,92160,120,5.85763e+08,92160,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",8304,84297.5,12337,ns,,5.46635e+08,,,,1,128,6,46080,60,1,128,6,46080,60,5.46635e+08,46080,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",2275,309083,12253,ns,,6.03798e+08,,,,1,64,54,186624,54,1,64,54,186624,54,6.03798e+08,186624,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2274,307712,12268.1,ns,,6.06489e+08,,,,1,64,54,186624,54,1,64,54,186624,54,6.06489e+08,186624,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4392,159414,12348.2,ns,,5.85344e+08,,,,1,128,27,93312,27,1,128,27,93312,27,5.85344e+08,93312,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",7736,90513.5,12377.7,ns,,5.54348e+08,,,,1,256,14,50176,14,1,256,14,50176,14,5.54348e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",13820,50638.9,12260.8,ns,,4.9543e+08,,,,1,512,7,25088,7,1,512,7,25088,7,4.9543e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",71,9.91636e+06,12942.6,ns,,3.23835e+08,,,,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,3.23835e+08,3.21126e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",141,4.95809e+06,12744.9,ns,,3.23841e+08,,,,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,3.23841e+08,1.60563e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",406,1.72614e+06,12560.4,ns,,4.65094e+08,,,,1,256,56,802816,56,1,256,56,802816,56,4.65094e+08,802816,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1077,649638,12388.1,ns,,6.17895e+08,,,,1,512,28,401408,28,1,512,28,401408,28,6.17895e+08,401408,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4096,170877,12322.1,ns,,5.87276e+08,,,,1,512,14,100352,14,1,512,14,100352,14,5.87276e+08,100352,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",13822,50767.7,12310.6,ns,,4.94172e+08,,,,1,512,7,25088,7,1,512,7,25088,7,4.94172e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",69,1.01079e+07,13028.9,ns,,6.35398e+08,,,,2,64,224,6.42253e+06,224,2,64,224,6.42253e+06,224,6.35398e+08,6.42253e+06,0,0
"LAYER_CUDNN_SOFTMAX_BWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",100,5.00093e+06,12879.4,ns,,6.42133e+08,,,,2,128,112,3.21126e+06,112,2,128,112,3.21126e+06,112,6.42133e+08,3.21126e+06,0,0
