Run on (160 X 4023 MHz CPU s)
2018-07-03 10:50:24
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","output_batch_size","output_channels","output_height","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",5391,121966,128476,ns,,2.9569e+10,,,,1,1,0,0.125856,0,5,20,1,1,161,112700,700,0,1,32,79,341,0,0,1.41359e+12,1.7241e+08,1.41359e+12,1.7241e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3333,210135,216625,ns,,3.43247e+10,,,,1,1,0,0.215392,0,5,20,2,1,161,225400,700,0,2,32,79,341,0,0,1.64094e+12,3.44819e+08,1.64094e+12,3.44819e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1756,399646,406166,ns,,3.6096e+10,,,,1,1,0,0.407584,0,5,20,4,1,161,450800,700,0,4,32,79,341,0,0,1.72562e+12,6.89638e+08,1.72562e+12,6.89638e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1983,352906,360005,ns,,7.81669e+10,,,,1,1,0,0.36128,0,5,10,1,32,79,862048,341,0,1,32,38,166,0,0,1.83035e+12,6.45939e+08,1.83035e+12,6.45939e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1229,568763,575300,ns,,9.70019e+10,,,,1,1,0,0.581056,0,5,10,2,32,79,1.7241e+06,341,0,2,32,38,166,0,0,2.27138e+12,1.29188e+09,2.27138e+12,1.29188e+09,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",544,1.29091e+06,1.29913e+06,ns,,8.5476e+10,,,,1,1,0,1.32995,0,5,10,4,32,79,3.44819e+06,341,0,4,32,38,166,0,0,2.00149e+12,2.58376e+09,2.00149e+12,2.58376e+09,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15733,44698.1,51227.9,ns,,8.24733e+09,,,,1,1,0,0.06992,0,3,3,1,1,48,23040,480,0,1,16,48,480,1,1,1.48452e+11,6.63552e+06,1.48452e+11,6.63552e+06,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",11054,63288.7,69808.5,ns,,4.65979e+10,,,,1,1,0,0.072064,0,3,3,1,16,24,92160,240,0,1,32,24,240,1,1,8.38762e+11,5.30842e+07,8.38762e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",7495,93448.4,99965,ns,,3.15588e+10,,,,1,1,0,0.105216,0,3,3,1,32,12,46080,120,0,1,64,12,120,1,1,5.68058e+11,5.30842e+07,5.68058e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4356,160642,167137,ns,,1.83584e+10,,,,0,1,0,0.169312,0,3,3,1,64,6,23040,60,0,1,128,6,60,1,1,3.30451e+11,5.30842e+07,3.30451e+11,5.30842e+07,1,1,0,0
