Run on (40 X 3600 MHz CPU s)
2018-07-24 08:45:39
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"activation_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",30469,22982.7,29198.5,ns,,3.75085e+10,,,,0,1,32,79,862048,341,1,32,79,862048,341,3.75085e+10,862048
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",17425,40174.4,46701.1,ns,,4.29153e+10,,,,0,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,4.29153e+10,1.7241e+06
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",13880,50404.7,56950,ns,,6.84102e+10,,,,0,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,6.84102e+10,3.44819e+06
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",89716,7785.68,13992.5,ns,,2.59266e+10,,,,0,1,32,38,201856,166,1,32,38,201856,166,2.59266e+10,201856
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",74446,8911.56,15087.6,ns,,4.53021e+10,,,,0,2,32,38,403712,166,2,32,38,403712,166,4.53021e+10,403712
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",67985,10299.3,16550.9,ns,,7.83962e+10,,,,0,4,32,38,807424,166,4,32,38,807424,166,7.83962e+10,807424
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",86472,8056.16,14316.5,ns,,4.57587e+10,,,,0,1,16,48,368640,480,1,16,48,368640,480,4.57587e+10,368640
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",95797,7267.09,13455.2,ns,,2.53636e+10,,,,0,1,32,24,184320,240,1,32,24,184320,240,2.53636e+10,184320
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",103857,6745.55,12978.7,ns,,1.36623e+10,,,,0,1,64,12,92160,120,1,64,12,92160,120,1.36623e+10,92160
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",115090,6075.86,12297.1,ns,,7.58411e+09,,,,0,1,128,6,46080,60,1,128,6,46080,60,7.58411e+09,46080
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",105519,6660.34,12842.8,ns,,2.80202e+10,,,,0,1,64,54,186624,54,1,64,54,186624,54,2.80202e+10,186624
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",103970,6654.65,12845.5,ns,,2.80442e+10,,,,0,1,64,54,186624,54,1,64,54,186624,54,2.80442e+10,186624
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",107862,6468.44,12580.4,ns,,1.44257e+10,,,,0,1,128,27,93312,27,1,128,27,93312,27,1.44257e+10,93312
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",110467,6333.31,12490.8,ns,,7.92255e+09,,,,0,1,256,14,50176,14,1,256,14,50176,14,7.92255e+09,50176
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",116410,6012.95,12211.2,ns,,4.17233e+09,,,,0,1,512,7,25088,7,1,512,7,25088,7,4.17233e+09,25088
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",22016,31800.4,38343.3,ns,,1.00982e+11,,,,0,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,1.00982e+11,3.21126e+06
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",36822,19009.7,25444.7,ns,,8.44638e+10,,,,0,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,8.44638e+10,1.60563e+06
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",75267,9302.88,15540.2,ns,,8.62975e+10,,,,0,1,256,56,802816,56,1,256,56,802816,56,8.62975e+10,802816
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",80783,8642.71,14785.2,ns,,4.64447e+10,,,,0,1,512,28,401408,28,1,512,28,401408,28,4.64447e+10,401408
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",105789,6597.77,12768.5,ns,,1.521e+10,,,,0,1,512,14,100352,14,1,512,14,100352,14,1.521e+10,100352
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",115816,6005.06,12224.9,ns,,4.17781e+09,,,,0,1,512,7,25088,7,1,512,7,25088,7,4.17781e+09,25088
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",12464,56098.4,62601.1,ns,,1.14487e+11,,,,0,2,64,224,6.42253e+06,224,2,64,224,6.42253e+06,224,1.14487e+11,6.42253e+06
"LAYER_CUDNN_ACTIVATION_BWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",22015,31763.8,38274.4,ns,,1.01098e+11,,,,0,2,128,112,3.21126e+06,112,2,128,112,3.21126e+06,112,1.01098e+11,3.21126e+06
