Run on (40 X 3600 MHz CPU s)
2018-07-24 10:06:11
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"activation_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",14796,47171.3,53754.6,ns,,1.82749e+10,,,,0,1,32,79,862048,341,1,32,79,862048,341,1.82749e+10,862048
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11863,59020.5,65904.1,ns,,2.92118e+10,,,,0,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,2.92118e+10,1.7241e+06
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",10824,64683.8,71597.4,ns,,5.33084e+10,,,,0,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,5.33084e+10,3.44819e+06
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",73137,9543.98,16152.9,ns,,2.11501e+10,,,,0,1,32,38,201856,166,1,32,38,201856,166,2.11501e+10,201856
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",59817,11685.9,18247.5,ns,,3.4547e+10,,,,0,2,32,38,403712,166,2,32,38,403712,166,3.4547e+10,403712
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",55641,12566.5,19036.2,ns,,6.42519e+10,,,,0,4,32,38,807424,166,4,32,38,807424,166,6.42519e+10,807424
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",65604,10716.6,17248,ns,,3.4399e+10,,,,0,1,16,48,368640,480,1,16,48,368640,480,3.4399e+10,368640
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",79662,8751.39,15254.5,ns,,2.10618e+10,,,,0,1,32,24,184320,240,1,32,24,184320,240,2.10618e+10,184320
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",88332,7921.04,14323.3,ns,,1.16348e+10,,,,0,1,64,12,92160,120,1,64,12,92160,120,1.16348e+10,92160
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",106011,6580.74,13116.4,ns,,7.00226e+09,,,,0,1,128,6,46080,60,1,128,6,46080,60,7.00226e+09,46080
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",91636,7594.19,14163.3,ns,,2.45746e+10,,,,0,1,64,54,186624,54,1,64,54,186624,54,2.45746e+10,186624
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",91497,7555.95,14205.1,ns,,2.46989e+10,,,,0,1,64,54,186624,54,1,64,54,186624,54,2.46989e+10,186624
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",98654,7070.64,13595.1,ns,,1.31971e+10,,,,0,1,128,27,93312,27,1,128,27,93312,27,1.31971e+10,93312
"LAYER_CUDNN_ACTIVATION_FWD_HALF<CUDNN_ACTIVATION_SIGMOID>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",99049,7066.46,13637.7,ns,,7.10058e+09,,,,0,1,256,14,50176,14,1,256,14,50176,14,7.10058e+09,50176
