Run on (40 X 3600 MHz CPU s)
2018-07-24 11:07:14
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"batchnorm_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",39288,17822.5,10835.7,ns,,4.83684e+10,,,,2,1,32,79,862048,341,1,32,79,862048,341,4.83684e+10,862048
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",20956,33426.8,10813,ns,,5.15783e+10,,,,2,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,5.15783e+10,1.7241e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",12381,56511.4,10689.8,ns,,6.10176e+10,,,,2,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,6.10176e+10,3.44819e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",65680,10703.1,7394.51,ns,,1.88596e+10,,,,2,1,32,38,201856,166,1,32,38,201856,166,1.88596e+10,201856
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",54983,12724.5,7407.75,ns,,3.17271e+10,,,,2,2,32,38,403712,166,2,32,38,403712,166,3.17271e+10,403712
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",40246,17398.7,7458.97,ns,,4.64071e+10,,,,2,4,32,38,807424,166,4,32,38,807424,166,4.64071e+10,807424
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",43217,16161,7463.54,ns,,2.28104e+10,,,,2,1,16,48,368640,480,1,16,48,368640,480,2.28104e+10,368640
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",68036,10255.2,7347.36,ns,,1.79733e+10,,,,2,1,32,24,184320,240,1,32,24,184320,240,1.79733e+10,184320
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",80588,8700.39,7357.58,ns,,1.05926e+10,,,,2,1,64,12,92160,120,1,64,12,92160,120,1.05926e+10,92160
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",83507,8407.01,7367.58,ns,,5.48114e+09,,,,2,1,128,6,46080,60,1,128,6,46080,60,5.48114e+09,46080
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",76499,9140.46,7325.45,ns,,2.04173e+10,,,,2,1,64,54,186624,54,1,64,54,186624,54,2.04173e+10,186624
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",76699,9092.81,7282.06,ns,,2.05244e+10,,,,2,1,64,54,186624,54,1,64,54,186624,54,2.05244e+10,186624
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",79421,8831.62,7240.54,ns,,1.05657e+10,,,,2,1,128,27,93312,27,1,128,27,93312,27,1.05657e+10,93312
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",73274,9554.69,7323.39,ns,,5.25145e+09,,,,2,1,256,14,50176,14,1,256,14,50176,14,5.25145e+09,50176
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",55356,12632.8,7258.02,ns,,1.98594e+09,,,,2,1,512,7,25088,7,1,512,7,25088,7,1.98594e+09,25088
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15639,44756.7,11765.1,ns,,7.17494e+10,,,,2,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,7.17494e+10,3.21126e+06
"LAYER_CUDNN_BATCHNORM_BWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",29848,23466,7448.02,ns,,6.84238e+10,,,,2,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,6.84238e+10,1.60563e+06
