Run on (40 X 3600 MHz CPU s)
2018-07-24 11:55:12
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"batchnorm_mode","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",34370,20445.1,12033.3,ns,,4.2164e+10,,,,2,1,32,79,862048,341,1,32,79,862048,341,4.2164e+10,862048
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",26213,26584.2,11893.5,ns,,6.48541e+10,,,,2,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,6.48541e+10,1.7241e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",16643,42171.9,11720.5,ns,,8.17651e+10,,,,2,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,8.17651e+10,3.44819e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",62621,11202.8,8243.42,ns,,1.80183e+10,,,,2,1,32,38,201856,166,1,32,38,201856,166,1.80183e+10,201856
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",55769,12543.5,8247.23,ns,,3.21849e+10,,,,2,2,32,38,403712,166,2,32,38,403712,166,3.21849e+10,403712
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",42820,16364.9,8228.01,ns,,4.93386e+10,,,,2,4,32,38,807424,166,4,32,38,807424,166,4.93386e+10,807424
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",47357,14763.4,8236.04,ns,,2.49699e+10,,,,2,1,16,48,368640,480,1,16,48,368640,480,2.49699e+10,368640
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",66830,10431.8,8255.42,ns,,1.7669e+10,,,,2,1,32,24,184320,240,1,32,24,184320,240,1.7669e+10,184320
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",75111,9228.65,8232.48,ns,,9.98629e+09,,,,2,1,64,12,92160,120,1,64,12,92160,120,9.98629e+09,92160
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",77230,9017.81,8216.25,ns,,5.10989e+09,,,,2,1,128,6,46080,60,1,128,6,46080,60,5.10989e+09,46080
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",68647,10191.2,8271.77,ns,,1.83123e+10,,,,2,1,64,54,186624,54,1,64,54,186624,54,1.83123e+10,186624
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",68816,10171.4,8264.89,ns,,1.83479e+10,,,,2,1,64,54,186624,54,1,64,54,186624,54,1.83479e+10,186624
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",74118,9413.41,8213.05,ns,,9.91266e+09,,,,2,1,128,27,93312,27,1,128,27,93312,27,9.91266e+09,93312
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",60424,11558.6,8233.58,ns,,4.34101e+09,,,,2,1,256,14,50176,14,1,256,14,50176,14,4.34101e+09,50176
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",51492,13630.4,8237.45,ns,,1.84059e+09,,,,2,1,512,7,25088,7,1,512,7,25088,7,1.84059e+09,25088
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",18190,38534.1,11974.3,ns,,8.33357e+10,,,,2,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,8.33357e+10,3.21126e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",38418,18241.3,8308.04,ns,,8.80216e+10,,,,2,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,8.80216e+10,1.60563e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",50698,13777.1,7744.36,ns,,5.82717e+10,,,,2,1,256,56,802816,56,1,256,56,802816,56,5.82717e+10,802816
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",49137,14259.2,7740.19,ns,,2.81508e+10,,,,2,1,512,28,401408,28,1,512,28,401408,28,2.81508e+10,401408
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",50893,13740,8254.1,ns,,7.30364e+09,,,,2,1,512,14,100352,14,1,512,14,100352,14,7.30364e+09,100352
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",51455,13487.8,7590.53,ns,,1.86005e+09,,,,2,1,512,7,25088,7,1,512,7,25088,7,1.86005e+09,25088
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",11119,62734.1,11388.4,ns,,1.02377e+11,,,,2,2,64,224,6.42253e+06,224,2,64,224,6.42253e+06,224,1.02377e+11,6.42253e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",20585,34026.4,7749.63,ns,,9.43756e+10,,,,2,2,128,112,3.21126e+06,112,2,128,112,3.21126e+06,112,9.43756e+10,3.21126e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",36961,18952.7,7744.66,ns,,8.47178e+10,,,,2,2,256,56,1.60563e+06,56,2,256,56,1.60563e+06,56,8.47178e+10,1.60563e+06
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:28/H:28/C:256/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",43803,15942.9,8359.11,ns,,5.03557e+10,,,,2,2,512,28,802816,28,2,512,28,802816,28,5.03557e+10,802816
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:14/H:14/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",50234,13942.9,8331.3,ns,,1.43947e+10,,,,2,2,512,14,200704,14,2,512,14,200704,14,1.43947e+10,200704
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:7/H:7/C:512/N:2/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",51233,13685.5,8269.05,ns,,3.66636e+09,,,,2,2,512,7,50176,7,2,512,7,50176,7,3.66636e+09,50176
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:224/H:224/C:3/N:1/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",55351,12598.9,8351.81,ns,,6.37212e+10,,,,2,1,64,112,802816,112,1,64,112,802816,112,6.37212e+10,802816
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:28/H:28/C:192/N:1/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",80226,8695.38,8327.02,ns,,2.88521e+09,,,,2,1,32,28,25088,28,1,32,28,25088,28,2.88521e+09,25088
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:28/H:28/C:192/N:1/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",80089,8817.64,8337.49,ns,,5.69041e+09,,,,2,1,64,28,50176,28,1,64,28,50176,28,5.69041e+09,50176
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:14/H:14/C:512/N:1/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",80492,8719.86,8295.77,ns,,1.07892e+09,,,,2,1,48,14,9408,14,1,48,14,9408,14,1.07892e+09,9408
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:14/H:14/C:512/N:1/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",73909,9445.69,8340.74,ns,,3.98404e+09,,,,2,1,192,14,37632,14,1,192,14,37632,14,3.98404e+09,37632
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:7/H:7/C:832/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",61501,11324.9,8031.88,ns,,1.10765e+09,,,,2,1,256,7,12544,7,1,256,7,12544,7,1.10765e+09,12544
"LAYER_CUDNN_BATCHNORM_FWD_HALF<CUDNN_BATCHNORM_SPATIAL_PERSISTENT, true>/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",79475,8794.98,7548.03,ns,,7.13134e+08,,,,2,1,128,7,6272,7,1,128,7,6272,7,7.13134e+08,6272
