Run on (40 X 3600 MHz CPU s)
2018-07-24 13:04:16
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"activation_mode","advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",7502,93267.1,100031,ns,,3.86674e+10,,,,1,1,1,0,0.403456,0,5,20,1,1,161,112700,700,0,32,1,32,79,862048,341,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",4629,151430,158583,ns,,4.76312e+10,,,,1,1,1,0,0.12288,0,5,20,2,1,161,225400,700,0,32,2,32,79,1.7241e+06,341,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2594,269203,276134,ns,,5.35863e+10,,,,1,0,1,0,0.221184,0,5,20,4,1,161,450800,700,0,32,4,32,79,3.44819e+06,341,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2616,267570,274249,ns,,1.03096e+11,,,,1,0,1,0,0.265216,0,5,10,1,32,79,862048,341,0,32,1,32,38,201856,166,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1679,416972,423677,ns,,1.32314e+11,,,,1,0,1,0,0.425984,0,5,10,2,32,79,1.7241e+06,341,0,32,2,32,38,403712,166,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",844,828574,835488,ns,,1.33171e+11,,,,1,0,1,0,0.842752,0,5,10,4,32,79,3.44819e+06,341,0,32,4,32,38,807424,166,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",18281,38270.8,44912.1,ns,,9.63241e+09,,,,1,1,1,0,0.032768,0,3,3,1,1,48,23040,480,0,16,1,16,48,368640,480,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",14652,47782.8,54384.6,ns,,6.17192e+10,,,,1,1,1,0,0.045056,0,3,3,1,16,24,92160,240,0,32,1,32,24,184320,240,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",10011,69800,76450,ns,,4.2251e+10,,,,1,1,1,0,0.06656,0,3,3,1,32,12,46080,120,0,64,1,64,12,92160,120,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",5904,118436,124672,ns,,2.49006e+10,,,,1,1,1,0,0.115712,0,3,3,1,64,6,23040,60,0,128,1,128,6,46080,60,1,1,1,1,0,0
