Run on (40 X 3600 MHz CPU s)
2018-07-13 06:22:05
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",8916,72787.7,79790.5,ns,,4.95469e+10,,,,1,1,0,0.072704,0,5,20,1,1,161,112700,700,0,32,1,32,79,862048,341,0,0,2.36866e+12,1.7241e+08,2.36866e+12,1.7241e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",5936,117531,124137,ns,,6.13694e+10,,,,1,1,0,0.12288,0,5,20,2,1,161,225400,700,0,32,2,32,79,1.7241e+06,341,0,0,2.93386e+12,3.44819e+08,2.93386e+12,3.44819e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3198,217567,224668,ns,,6.63042e+10,,,,0,1,0,0.222208,0,5,20,4,1,161,450800,700,0,32,4,32,79,3.44819e+06,341,0,0,3.16978e+12,6.89638e+08,3.16978e+12,6.89638e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2674,262217,268087,ns,,1.05201e+11,,,,0,1,0,0.280576,0,5,10,1,32,79,862048,341,0,32,1,32,38,201856,166,0,0,2.46337e+12,6.45939e+08,2.46337e+12,6.45939e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1710,409484,416400,ns,,1.34733e+11,,,,0,1,0,0.429056,0,5,10,2,32,79,1.7241e+06,341,0,32,2,32,38,403712,166,0,0,3.15489e+12,1.29188e+09,3.15489e+12,1.29188e+09,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",859,814588,821620,ns,,1.35458e+11,,,,0,1,0,0.85088,0,5,10,4,32,79,3.44819e+06,341,0,32,4,32,38,807424,166,0,0,3.17186e+12,2.58376e+09,3.17186e+12,2.58376e+09,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",23741,29552.4,35908.1,ns,,1.24741e+10,,,,1,1,0,0.031744,0,3,3,1,1,48,23040,480,0,16,1,16,48,368640,480,1,1,2.24534e+11,6.63552e+06,2.24534e+11,6.63552e+06,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",16231,42808.1,49164.2,ns,,6.88917e+10,,,,1,1,0,0.04608,0,3,3,1,16,24,92160,240,0,32,1,32,24,184320,240,1,1,1.24005e+12,5.30842e+07,1.24005e+12,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",10987,63597.8,69978.8,ns,,4.63714e+10,,,,1,1,0,0.068608,0,3,3,1,32,12,46080,120,0,64,1,64,12,92160,120,1,1,8.34685e+11,5.30842e+07,8.34685e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6236,112221,118533,ns,,2.62795e+10,,,,1,1,0,0.115712,0,3,3,1,64,6,23040,60,0,128,1,128,6,46080,60,1,1,4.73031e+11,5.30842e+07,4.73031e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",32860,21229.9,27919.6,ns,,1.05488e+11,,,,1,1,0,0.024576,0,3,3,1,3,108,34992,108,0,64,1,64,54,186624,54,1,1,4.74694e+11,1.00777e+07,4.74694e+11,1.00777e+07,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6552,106834,113567,ns,,1.11799e+11,,,,1,1,0,0.109568,0,3,3,1,64,54,186624,54,0,64,1,64,54,186624,54,1,1,2.01237e+12,2.14991e+08,2.01237e+12,2.14991e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3486,200809,207521,ns,,5.94791e+10,,,,1,1,0,0.203776,0,3,3,1,128,27,93312,27,0,128,1,128,27,93312,27,1,1,1.07062e+12,2.14991e+08,1.07062e+12,2.14991e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3487,200686,207805,ns,,3.20028e+10,,,,0,1,0,0.205824,0,3,3,1,128,14,25088,14,0,256,1,256,14,50176,14,1,1,5.76051e+11,1.15606e+08,5.76051e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1863,375808,383173,ns,,1.70899e+10,,,,0,1,0,0.379904,0,3,3,1,256,7,12544,7,0,512,1,512,7,25088,7,1,1,3.07619e+11,1.15606e+08,3.07619e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",10991,63623.2,70679.5,ns,,1.5142e+11,,,,1,1,0,0.067584,0,3,3,1,3,224,150528,224,0,64,1,64,224,3.21126e+06,224,1,1,2.72555e+12,1.73408e+08,2.72555e+12,1.73408e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4358,160340,167010,ns,,6.4089e+11,,,,1,1,0,0.164864,0,3,3,1,64,112,802816,112,0,128,1,128,112,1.60563e+06,112,1,1,1.1536e+13,1.84969e+09,1.1536e+13,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3565,196394,203126,ns,,5.23236e+11,,,,1,1,0,0.200704,0,3,3,1,128,56,401408,56,0,256,1,256,56,802816,56,1,1,9.41826e+12,1.84969e+09,9.41826e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1867,374887,381662,ns,,2.7411e+11,,,,0,1,0,0.392192,0,3,3,1,256,28,200704,28,0,512,1,512,28,401408,28,1,1,4.93399e+12,1.84969e+09,4.93399e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",948,737820,744769,ns,,6.96379e+10,,,,0,1,0,0.758752,0,3,3,1,512,14,100352,14,0,512,1,512,14,100352,14,1,1,1.25348e+12,9.24844e+08,1.25348e+12,9.24844e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",954,733397,740625,ns,,1.75145e+10,,,,0,1,0,0.748544,0,3,3,1,512,7,25088,7,0,512,1,512,7,25088,7,1,1,3.1526e+11,2.31211e+08,3.1526e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",7269,95781.4,102767,ns,,2.01162e+11,,,,1,1,0,0.099328,0,3,3,2,3,224,301056,224,0,64,2,64,224,6.42253e+06,224,1,1,3.62092e+12,3.46817e+08,3.62092e+12,3.46817e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2285,303502,310527,ns,,6.77165e+11,,,,1,1,0,0.282624,0,3,3,2,64,112,1.60563e+06,112,0,128,2,128,112,3.21126e+06,112,1,1,1.2189e+13,3.69938e+09,1.2189e+13,3.69938e+09,1,1,0,0
