Run on (40 X 3600 MHz CPU s)
2018-07-24 16:12:39
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"dropout","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",86456,8102.82,14491.3,ns,,1.06389e+11,,,,0.5,1,32,79,862048,341,1,32,79,862048,341,1.06389e+11,862048
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",69966,10220.1,16530.2,ns,,1.68696e+11,,,,0.5,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,1.68696e+11,1.7241e+06
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",40639,16686.7,23336.1,ns,,2.06644e+11,,,,0.5,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,2.06644e+11,3.44819e+06
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",95092,7042.83,13342.9,ns,,2.86612e+10,,,,0.5,1,32,38,201856,166,1,32,38,201856,166,2.86612e+10,201856
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",93782,7440.83,13780.8,ns,,5.42563e+10,,,,0.5,2,32,38,403712,166,2,32,38,403712,166,5.42563e+10,403712
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",85110,7939.6,14253.1,ns,,1.01696e+11,,,,0.5,4,32,38,807424,166,4,32,38,807424,166,1.01696e+11,807424
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",92640,7416.24,13695.1,ns,,4.97071e+10,,,,0.5,1,16,48,368640,480,1,16,48,368640,480,4.97071e+10,368640
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",95237,6994.6,13288.6,ns,,2.63518e+10,,,,0.5,1,32,24,184320,240,1,32,24,184320,240,2.63518e+10,184320
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",101968,6534.53,12779.1,ns,,1.41035e+10,,,,0.5,1,64,12,92160,120,1,64,12,92160,120,1.41035e+10,92160
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",112940,6185.43,12324.8,ns,,7.44976e+09,,,,0.5,1,128,6,46080,60,1,128,6,46080,60,7.44976e+09,46080
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",99880,7013.98,13323.9,ns,,2.66074e+10,,,,0.5,1,64,54,186624,54,1,64,54,186624,54,2.66074e+10,186624
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",100137,6984.36,13249.1,ns,,2.67203e+10,,,,0.5,1,64,54,186624,54,1,64,54,186624,54,2.67203e+10,186624
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",102139,6505.04,12748.1,ns,,1.43446e+10,,,,0.5,1,128,27,93312,27,1,128,27,93312,27,1.43446e+10,93312
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",103064,6259.12,12452.6,ns,,8.01646e+09,,,,0.5,1,256,14,50176,14,1,256,14,50176,14,8.01646e+09,50176
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",114939,5990.99,12228.3,ns,,4.18762e+09,,,,0.5,1,512,7,25088,7,1,512,7,25088,7,4.18762e+09,25088
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",41501,16352.7,22998.1,ns,,1.96375e+11,,,,0.5,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,1.96375e+11,3.21126e+06
"LAYER_CUDNN_DROPOUT_BWD_HALF/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",72261,9794.88,16007.1,ns,,1.63926e+11,,,,0.5,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,1.63926e+11,1.60563e+06
