Run on (40 X 3600 MHz CPU s)
2018-07-24 16:28:36
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"dropout","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count"
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",23734,28970.1,35974.8,ns,,2.97565e+10,,,,0.5,1,32,79,862048,341,1,32,79,862048,341,2.97565e+10,862048
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",19927,34793.9,41664.8,ns,,4.95517e+10,,,,0.5,2,32,79,1.7241e+06,341,2,32,79,1.7241e+06,341,4.95517e+10,1.7241e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",15199,45875.3,52886.1,ns,,7.51645e+10,,,,0.5,4,32,79,3.44819e+06,341,4,32,79,3.44819e+06,341,7.51645e+10,3.44819e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",30794,22829.7,29503.9,ns,,8.8418e+09,,,,0.5,1,32,38,201856,166,1,32,38,201856,166,8.8418e+09,201856
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",29486,23691.3,30286.9,ns,,1.70405e+10,,,,0.5,2,32,38,403712,166,2,32,38,403712,166,1.70405e+10,403712
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",24363,28235.7,34920.2,ns,,2.85959e+10,,,,0.5,4,32,38,807424,166,4,32,38,807424,166,2.85959e+10,807424
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",30055,23370.6,29750.9,ns,,1.57737e+10,,,,0.5,1,16,48,368640,480,1,16,48,368640,480,1.57737e+10,368640
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",31087,22647.4,29310.8,ns,,8.13869e+09,,,,0.5,1,32,24,184320,240,1,32,24,184320,240,8.13869e+09,184320
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",32240,21831.3,28427.2,ns,,4.22146e+09,,,,0.5,1,64,12,92160,120,1,64,12,92160,120,4.22146e+09,92160
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",45051,15619.5,22095.7,ns,,2.95016e+09,,,,0.5,1,128,6,46080,60,1,128,6,46080,60,2.95016e+09,46080
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",31046,22524.6,28866.4,ns,,8.28535e+09,,,,0.5,1,64,54,186624,54,1,64,54,186624,54,8.28535e+09,186624
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",31352,22463.1,28748.3,ns,,8.30802e+09,,,,0.5,1,64,54,186624,54,1,64,54,186624,54,8.30802e+09,186624
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",32160,21882.9,28539.6,ns,,4.26414e+09,,,,0.5,1,128,27,93312,27,1,128,27,93312,27,4.26414e+09,93312
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",44155,15946.5,22549.3,ns,,3.14652e+09,,,,0.5,1,256,14,50176,14,1,256,14,50176,14,3.14652e+09,50176
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",58488,11964.6,18589,ns,,2.09685e+09,,,,0.5,1,512,7,25088,7,1,512,7,25088,7,2.09685e+09,25088
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15638,44486.9,51466.8,ns,,7.21845e+10,,,,0.5,1,64,224,3.21126e+06,224,1,64,224,3.21126e+06,224,7.21845e+10,3.21126e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",20275,34118.3,41047,ns,,4.70608e+10,,,,0.5,1,128,112,1.60563e+06,112,1,128,112,1.60563e+06,112,4.70608e+10,1.60563e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",24282,28382.8,35277.5,ns,,2.82853e+10,,,,0.5,1,256,56,802816,56,1,256,56,802816,56,2.82853e+10,802816
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",29566,23768.2,30475.7,ns,,1.68884e+10,,,,0.5,1,512,28,401408,28,1,512,28,401408,28,1.68884e+10,401408
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",32041,22008.7,28692.6,ns,,4.55965e+09,,,,0.5,1,512,14,100352,14,1,512,14,100352,14,4.55965e+09,100352
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",58476,12015.6,18611,ns,,2.08795e+09,,,,0.5,1,512,7,25088,7,1,512,7,25088,7,2.08795e+09,25088
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:224/H:224/C:3/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",10547,64476.6,71388.9,ns,,9.96102e+10,,,,0.5,2,64,224,6.42253e+06,224,2,64,224,6.42253e+06,224,9.96102e+10,6.42253e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:112/H:112/C:64/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15644,44391.6,51320.2,ns,,7.23395e+10,,,,0.5,2,128,112,3.21126e+06,112,2,128,112,3.21126e+06,112,7.23395e+10,3.21126e+06
"LAYER_CUDNN_DROPOUT_FWD_HALF/W:56/H:56/C:128/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",20328,34061.2,40966.6,ns,,4.71396e+10,,,,0.5,2,256,56,1.60563e+06,56,2,256,56,1.60563e+06,56,4.71396e+10,1.60563e+06
