Run on (40 X 3600 MHz CPU s)
2018-07-24 17:06:06
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"horizontal_padding","horizontal_stride","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","pooling_mode","predicted_flops","predicted_flops_count","vertical_padding","vertical_stride","window_height","window_width"
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",35803,19645.4,26098.3,ns,,4.38803e+10,,,,0,2,1,32,79,862048,341,1,32,39,212160,170,0,4.38803e+10,862048,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",18987,36881.5,43417.1,ns,,4.6747e+10,,,,0,2,2,32,79,1.7241e+06,341,2,32,39,424320,170,0,4.6747e+10,1.7241e+06,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11090,63130.2,69937.4,ns,,5.46204e+10,,,,0,2,4,32,79,3.44819e+06,341,4,32,39,848640,170,0,5.46204e+10,3.44819e+06,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",48014,14496.7,20879.1,ns,,1.39243e+10,,,,0,2,1,32,38,201856,166,1,32,19,50464,83,0,1.39243e+10,201856,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",44685,15664.4,22058.6,ns,,2.57725e+10,,,,0,2,2,32,38,403712,166,2,32,19,100928,83,0,2.57725e+10,403712,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",36112,19381.2,25802.4,ns,,4.16602e+10,,,,0,2,4,32,38,807424,166,4,32,19,201856,83,0,4.16602e+10,807424,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",46563,15053.9,21384.1,ns,,2.4488e+10,,,,0,2,1,16,48,368640,480,1,16,24,92160,240,0,2.4488e+10,368640,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",45076,15525.9,21882.8,ns,,1.18718e+10,,,,0,2,1,32,24,184320,240,1,32,12,46080,120,0,1.18718e+10,184320,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",79141,8837.65,15194.4,ns,,1.04281e+10,,,,0,2,1,64,12,92160,120,1,64,6,23040,60,0,1.04281e+10,92160,0,2,2,2
"LAYER_CUDNN_POOLING_BWD_HALF<CUDNN_POOLING_MAX>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",95118,7369.92,13738.4,ns,,6.25244e+09,,,,0,2,1,128,6,46080,60,1,128,3,11520,30,0,6.25244e+09,46080,0,2,2,2
