Run on (40 X 3600 MHz CPU s)
2018-07-24 18:10:16
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"horizontal_padding","horizontal_stride","input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","pooling_mode","predicted_flops","predicted_flops_count","vertical_padding","vertical_stride","window_height","window_width"
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",73662,9588.72,17478.4,ns,,8.99023e+10,,,,0,2,1,32,79,862048,341,1,32,39,212160,170,0,8.99023e+10,862048,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",61346,12218.9,20353.3,ns,,1.411e+11,,,,0,2,2,32,79,1.7241e+06,341,2,32,39,424320,170,0,1.411e+11,1.7241e+06,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",31251,22054.8,31477.7,ns,,1.56346e+11,,,,0,2,4,32,79,3.44819e+06,341,4,32,39,848640,170,0,1.56346e+11,3.44819e+06,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",85233,7630.65,15250.2,ns,,2.64533e+10,,,,0,2,1,32,38,201856,166,1,32,19,50464,83,0,2.64533e+10,201856,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",83372,8147.17,15941.7,ns,,4.95524e+10,,,,0,2,2,32,38,403712,166,2,32,19,100928,83,0,4.95524e+10,403712,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",77428,9583.96,17224.2,ns,,8.42475e+10,,,,0,2,4,32,38,807424,166,4,32,19,201856,83,0,8.42475e+10,807424,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",94485,8277.47,16259.5,ns,,4.45353e+10,,,,0,2,1,16,48,368640,480,1,16,24,92160,240,0,4.45353e+10,368640,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",96470,8050.8,15926.3,ns,,2.28946e+10,,,,0,2,1,32,24,184320,240,1,32,12,46080,120,0,2.28946e+10,184320,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",101722,7498.29,14784.3,ns,,1.22908e+10,,,,0,2,1,64,12,92160,120,1,64,6,23040,60,0,1.22908e+10,92160,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",76902,7422.86,14980.8,ns,,6.20785e+09,,,,0,2,1,128,6,46080,60,1,128,3,11520,30,0,6.20785e+09,46080,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",98017,7946.29,15865.8,ns,,2.34857e+10,,,,0,2,1,64,54,186624,54,1,64,27,46656,27,0,2.34857e+10,186624,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",98409,7992.27,15161.3,ns,,2.33506e+10,,,,0,2,1,64,54,186624,54,1,64,27,46656,27,0,2.33506e+10,186624,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",86134,7637.23,15148,ns,,1.2218e+10,,,,0,2,1,128,27,93312,27,1,128,13,21632,13,0,1.2218e+10,93312,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",101132,7624.97,15303.7,ns,,6.58049e+09,,,,0,2,1,256,14,50176,14,1,256,7,12544,7,0,6.58049e+09,50176,0,2,2,2
"LAYER_CUDNN_POOLING_FWD_HALF<CUDNN_POOLING_MAX>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",103733,7195.75,14505.4,ns,,3.4865e+09,,,,0,2,1,512,7,25088,7,1,512,3,4608,3,0,3.4865e+09,25088,0,2,2,2
