Run on (40 X 3600 MHz CPU s)
2018-07-03 10:47:33
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","output_batch_size","output_channels","output_height","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:1/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",8692,71911.6,78617.1,ns,,5.01505e+10,,,,1,1,0,0.072768,0,5,20,1,1,161,112700,700,0,1,32,79,341,0,0,2.39752e+12,1.7241e+08,2.39752e+12,1.7241e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:2/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",5947,117837,124721,ns,,6.12099e+10,,,,1,1,0,0.120608,0,5,20,2,1,161,225400,700,0,2,32,79,341,0,0,2.92623e+12,3.44819e+08,2.92623e+12,3.44819e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:700/H:161/C:1/N:4/K:32/filter_w(s):20/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3219,217688,224725,ns,,6.62672e+10,,,,0,1,0,0.222016,0,5,20,4,1,161,450800,700,0,4,32,79,341,0,0,3.16801e+12,6.89638e+08,3.16801e+12,6.89638e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:1/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",2674,261706,268311,ns,,1.05407e+11,,,,0,1,0,0.269696,0,5,10,1,32,79,862048,341,0,1,32,38,166,0,0,2.46819e+12,6.45939e+08,2.46819e+12,6.45939e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:2/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1709,409721,416531,ns,,1.34655e+11,,,,0,1,0,0.44448,0,5,10,2,32,79,1.7241e+06,341,0,2,32,38,166,0,0,3.15307e+12,1.29188e+09,3.15307e+12,1.29188e+09,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:341/H:79/C:32/N:4/K:32/filter_w(s):10/filter_h(r):5/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",860,814814,821772,ns,,1.3542e+11,,,,0,1,0,0.8488,0,5,10,4,32,79,3.44819e+06,341,0,4,32,38,166,0,0,3.17098e+12,2.58376e+09,3.17098e+12,2.58376e+09,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:480/H:48/C:1/N:1/K:16/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",23747,29505.8,36029,ns,,1.24938e+10,,,,1,1,0,0.033376,0,3,3,1,1,48,23040,480,0,1,16,48,480,1,1,2.24888e+11,6.63552e+06,2.24888e+11,6.63552e+06,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:240/H:24/C:16/N:1/K:32/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",16294,42913.2,49489.8,ns,,6.8723e+10,,,,1,1,0,0.048064,0,3,3,1,16,24,92160,240,0,1,32,24,240,1,1,1.23701e+12,5.30842e+07,1.23701e+12,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:120/H:12/C:32/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",10961,63769.1,70320.6,ns,,4.62468e+10,,,,1,1,0,0.067744,0,3,3,1,32,12,46080,120,0,1,64,12,120,1,1,8.32443e+11,5.30842e+07,8.32443e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:60/H:6/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6254,111838,118097,ns,,2.63695e+10,,,,1,1,0,0.11616,0,3,3,1,64,6,23040,60,0,1,128,6,60,1,1,4.74652e+11,5.30842e+07,4.74652e+11,5.30842e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:108/H:108/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",33846,20643.5,26727.8,ns,,1.08484e+11,,,,1,1,0,0.025184,0,3,3,1,3,108,34992,108,0,1,64,54,54,1,1,4.88177e+11,1.00777e+07,4.88177e+11,1.00777e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:54/H:54/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6581,106671,113299,ns,,1.1197e+11,,,,1,1,0,0.111648,0,3,3,1,64,54,186624,54,0,1,64,54,54,1,1,2.01545e+12,2.14991e+08,2.01545e+12,2.14991e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:27/H:27/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3488,200671,207335,ns,,5.95201e+10,,,,1,1,0,0.204992,0,3,3,1,128,27,93312,27,0,1,128,27,27,1,1,1.07136e+12,2.14991e+08,1.07136e+12,2.14991e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3487,200744,207399,ns,,3.19936e+10,,,,0,1,0,0.204256,0,3,3,1,128,14,25088,14,0,1,256,14,14,1,1,5.75885e+11,1.15606e+08,5.75885e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1861,376320,382956,ns,,1.70667e+10,,,,0,1,0,0.386368,0,3,3,1,256,7,12544,7,0,1,512,7,7,1,1,3.072e+11,1.15606e+08,3.072e+11,1.15606e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",10041,63213.3,70127.8,ns,,1.52401e+11,,,,1,1,0,0.065664,0,3,3,1,3,224,150528,224,0,1,64,224,224,1,1,2.74322e+12,1.73408e+08,2.74322e+12,1.73408e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:112/H:112/C:64/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4361,160398,167207,ns,,6.40659e+11,,,,1,1,0,0.164704,0,3,3,1,64,112,802816,112,0,1,128,112,112,1,1,1.15319e+13,1.84969e+09,1.15319e+13,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:128/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3565,196367,203083,ns,,5.23309e+11,,,,1,1,0,0.199744,0,3,3,1,128,56,401408,56,0,1,256,56,56,1,1,9.41957e+12,1.84969e+09,9.41957e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:256/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1864,375597,382400,ns,,2.73592e+11,,,,0,1,0,0.385056,0,3,3,1,256,28,200704,28,0,1,512,28,28,1,1,4.92466e+12,1.84969e+09,4.92466e+12,1.84969e+09,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",948,738042,744731,ns,,6.96169e+10,,,,0,1,0,0.747776,0,3,3,1,512,14,100352,14,0,1,512,14,14,1,1,1.25311e+12,9.24844e+08,1.25311e+12,9.24844e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:1/K:512/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",955,732860,739552,ns,,1.75273e+10,,,,0,1,0,0.767296,0,3,3,1,512,7,25088,7,0,1,512,7,7,1,1,3.15491e+11,2.31211e+08,3.15491e+11,2.31211e+08,1,1,0,0
